login_id,registration_date_id,registration_channel,registration_country,payer,dau,sessions_count,playtime,last_login_day,days_active_last_7_days,cohort_size,elo_rating,arena_level,gold,runes_stash_class1_tier1,runes_stash_class2_tier1,runes_stash_class3_tier1,runes_stash_tier2,spell_runes_stash,hero_dust,item_dust,gold_gained_total,gold_bought_total,gold_spent_total,runes_gained_total_class1_tier1,runes_gained_total_class2_tier1,runes_gained_total_class3_tier1,runes_gained_total_tier_2,spell_runes_gained_total,runes_spent_class1_tier1,runes_spent_class2_tier1,runes_spent_class3_tier1,runes_spent_total_tier2,spell_runes_spent_total,hero_dust_spent_total,hero_dust_gained_total,tokens,tokens_gained_total,enter_queue_count,battles_played,battles_won,battles_played_total,battles_won_total,heroes_unlocked,heroes_level,hero_shards,minion_upgrades,free_chests_opened_total,silver_chests_opened_total,golden_chests_opened_total,magical_chests_opened_total,victory_chests_opened_total,pvp_event_small_chest_small,pvp_event_small_chest_medium,pvp_event_small_chest_large,pvp_event_big_chest_small,pvp_event_big_chest_medium,pvp_event_big_chest_large,cards_gained_total,minion_cards_gained_common_total,minion_cards_gained_rare_total,minion_cards_gained_epic_total,minion_cards_gained_legendary_total,spell_cards_gained_common_total,spell_cards_gained_rare_total,spell_cards_gained_epic_total,spell_cards_gained_legendary_total,campaign_tickets,max_campaign_level,equipment_bonus,campaign_battles,campaign_battles_total,event_battles,event_battles_total,event_tokens,group_points,lives_spent,milestone_points,date_id,group,allowed_notifications,date_id_notif,notif_exposed,allowed,retained_d1,retained_d7,retained_d14
1,0,Organic,Canada,False,1,3,1351,0,1,1,0,0,271,1,4,3,1,2,5,10,171,0,0,9,12,7,1,2,8,8,4,0,0,0,5,90,90,4,4,4,4,4,1,1,3,5,2,0,0,0,0,0,0,0,0,0,0,8,5,2,0,0,0,1,0,0,2,1,0.0,5,5,0,0,15,0,0,0,0,group2_odd,,,False,0,False,False,False
2,0,Organic,Brazil,False,1,1,1046,0,1,1,0,0,202,2,2,3,1,1,0,10,102,0,0,2,16,3,1,1,0,14,0,0,0,0,0,90,90,4,4,4,4,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,1,0,0.0,2,2,0,0,15,0,0,0,0,group1_even,True,0.0,True,1,False,False,False
3,0,Organic,Brazil,False,1,7,5854,0,1,1,140,1,402,12,4,3,3,23,0,210,352,0,50,46,25,41,3,23,34,21,38,0,0,0,0,130,130,18,17,15,17,15,1,1,4,18,2,1,0,0,2,0,0,0,0,0,0,17,13,2,1,0,0,1,0,0,2,3,0.0,8,8,0,0,40,0,0,0,0,group2_odd,False,0.0,True,0,True,True,True
4,0,Paid,France,False,1,1,772,0,1,1,0,0,198,3,2,3,0,20,0,10,98,0,0,3,2,3,0,20,0,0,0,0,0,0,0,130,130,3,3,3,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,2,0,0.0,1,1,0,0,40,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
5,0,Paid,United Kingdom,False,1,1,521,0,1,1,0,0,158,0,0,0,0,0,0,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0.0,2,2,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
6,0,Paid,Germany,False,1,5,4528,0,1,1,100,1,425,3,0,20,1,2,0,210,325,0,0,28,8,24,1,2,25,8,4,0,0,0,0,90,90,12,11,11,11,11,1,1,4,8,1,0,0,0,1,0,0,0,0,0,0,12,7,2,2,0,0,1,0,0,1,3,0.0,9,9,0,0,15,0,0,0,0,group1_even,True,0.0,True,1,True,False,False
7,0,Paid,United States,False,1,1,625,0,1,1,0,0,153,2,1,1,0,1,0,10,53,0,0,2,15,1,0,1,0,14,0,0,0,0,0,5,5,2,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,2,0,0.0,1,1,0,0,5,0,0,0,0,group2_odd,,,False,0,False,False,False
8,0,Organic,United Kingdom,False,1,2,1274,0,1,1,0,0,197,2,2,2,0,2,5,10,97,0,0,2,2,2,0,2,0,0,0,0,0,0,5,90,90,3,3,3,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,3,0,0.0,3,3,0,0,15,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
9,0,Organic,Germany,False,1,1,821,0,1,1,0,0,194,1,3,3,0,1,5,10,94,0,0,1,3,3,0,1,0,0,0,0,0,0,5,130,130,3,3,3,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,2,0,0.0,1,1,0,0,40,0,0,0,0,group2_odd,,,False,0,False,False,False
10,0,Paid,Canada,False,1,2,698,0,1,1,0,0,218,2,0,0,1,1,5,10,118,0,0,10,4,12,1,1,8,4,12,0,0,0,5,20,20,2,2,2,2,2,1,1,2,6,2,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0,0,2,0,0.0,1,1,0,0,10,0,0,0,0,group1_even,False,0.0,True,0,False,False,False
